# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Wed Jun  5 17:54:41 2024
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2 Rayleigh CIA
1.401344639e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.97025e-01 1.00000e+00 1.00000e+00 9.96780e-01 3.20352e-03
1.401358652e+00 2.35756e-219 7.35614e-217 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.91745e-01 1.00000e+00 1.00000e+00 9.96780e-01 3.22313e-03
1.401372666e+00 2.63005e-142 8.13211e-140 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.96553e-01 1.00000e+00 1.00000e+00 9.96780e-01 3.24287e-03
1.401386679e+00 7.22315e-105 2.21763e-102 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.98344e-01 1.00000e+00 1.00000e+00 9.96780e-01 3.26273e-03
1.401400693e+00 5.96521e-90 1.82134e-87 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.98330e-01 1.00000e+00 1.00000e+00 9.96780e-01 3.28271e-03
1.401414707e+00 1.02846e-88 3.13477e-86 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.97767e-01 1.00000e+00 1.00000e+00 9.96780e-01 3.30281e-03
1.401428721e+00 7.50833e-98 2.28154e-95 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.95073e-01 1.00000e+00 1.00000e+00 9.96780e-01 3.32303e-03
1.401442736e+00 4.23729e-133 1.28429e-130 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.93500e-01 1.00000e+00 1.00000e+00 9.96781e-01 3.34338e-03
1.401456750e+00 2.60526e-99 7.80175e-97 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.85180e-01 1.00000e+00 1.00000e+00 9.96781e-01 3.36385e-03
1.401470765e+00 3.55583e-97 1.06030e-94 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.96019e-01 1.00000e+00 1.00000e+00 9.96781e-01 3.38445e-03
1.401484779e+00 1.31848e-104 3.90589e-102 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.96919e-01 1.00000e+00 1.00000e+00 9.96781e-01 3.40518e-03
1.401498794e+00 8.99814e-135 2.65626e-132 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.95717e-01 1.00000e+00 1.00000e+00 9.96781e-01 3.42603e-03
1.401512809e+00 2.21399e-206 6.48447e-204 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.96570e-01 1.00000e+00 1.00000e+00 9.96781e-01 3.44701e-03
1.401526824e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.95030e-01 1.00000e+00 1.00000e+00 9.96781e-01 3.46812e-03
1.401540840e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.97232e-01 1.00000e+00 1.00000e+00 9.96782e-01 3.48936e-03
1.401554855e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.97107e-01 1.00000e+00 1.00000e+00 9.96782e-01 3.51073e-03
1.401568871e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.93972e-01 1.00000e+00 1.00000e+00 9.96782e-01 3.53223e-03
1.401582886e+00 1.79758e-237 5.06949e-235 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.97818e-01 1.00000e+00 1.00000e+00 9.96782e-01 3.55386e-03
1.401596902e+00 1.11822e-220 3.13486e-218 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.97611e-01 1.00000e+00 1.00000e+00 9.96782e-01 3.57563e-03
1.401610918e+00 2.84277e-137 7.92048e-135 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 9.97900e-01 1.00000e+00 1.00000e+00 9.96782e-01 3.59752e-03
1.401624934e+00 4.62375e-88 1.28264e-85 1.00000e+00 1.00000e+00 9.99994e-01 1.00000e+00 9.97090e-01 1.00000e+00 1.00000e+00 9.96782e-01 3.61956e-03
1.401638950e+00 1.57850e-66 4.36974e-64 1.00000e+00 1.00000e+00 9.99998e-01 1.00000e+00 9.94368e-01 1.00000e+00 1.00000e+00 9.96782e-01 3.64172e-03
1.401652967e+00 1.53400e-56 4.21617e-54 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 9.94025e-01 1.00000e+00 1.00000e+00 9.96783e-01 3.66403e-03
1.401666983e+00 9.37026e-53 2.55072e-50 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.96452e-01 1.00000e+00 1.00000e+00 9.96783e-01 3.68647e-03
1.401681000e+00 1.34775e-51 3.65183e-49 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.98262e-01 1.00000e+00 1.00000e+00 9.96783e-01 3.70905e-03
1.401695017e+00 4.36460e-53 1.17818e-50 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.98304e-01 1.00000e+00 1.00000e+00 9.96783e-01 3.73176e-03
1.401709034e+00 1.06251e-60 2.85215e-58 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.97491e-01 1.00000e+00 1.00000e+00 9.96783e-01 3.75462e-03
1.401723051e+00 6.24690e-81 1.66803e-78 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.96464e-01 1.00000e+00 1.00000e+00 9.96783e-01 3.77761e-03
1.401737068e+00 4.35380e-134 1.15851e-131 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.93159e-01 1.00000e+00 1.00000e+00 9.96783e-01 3.80075e-03
1.401751085e+00 1.29085e-298 3.42526e-296 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.91153e-01 1.00000e+00 1.00000e+00 9.96783e-01 3.82403e-03
1.401765103e+00 0.00000e+00 4.94066e-324 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 9.95118e-01 1.00000e+00 1.00000e+00 9.96784e-01 3.84745e-03
1.401779121e+00 1.04730e-139 2.72957e-137 1.00000e+00 1.00000e+00 9.99998e-01 1.00000e+00 9.92424e-01 1.00000e+00 1.00000e+00 9.96784e-01 3.87102e-03
1.401793138e+00 7.75616e-77 2.00251e-74 1.00000e+00 1.00000e+00 9.99992e-01 1.00000e+00 9.94711e-01 1.00000e+00 1.00000e+00 9.96784e-01 3.89473e-03
1.401807156e+00 9.28120e-51 2.40784e-48 1.00000e+00 1.00000e+00 9.99990e-01 1.00000e+00 9.90169e-01 1.00000e+00 1.00000e+00 9.96784e-01 3.91858e-03
1.401821174e+00 1.03612e-37 2.64652e-35 1.00000e+00 1.00000e+00 9.99998e-01 1.00000e+00 9.87707e-01 1.00000e+00 1.00000e+00 9.96784e-01 3.94259e-03
1.401835193e+00 2.40688e-30 6.11011e-28 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 9.94601e-01 1.00000e+00 1.00000e+00 9.96784e-01 3.96674e-03
1.401849211e+00 6.74454e-26 1.69719e-23 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 9.94905e-01 1.00000e+00 1.00000e+00 9.96784e-01 3.99103e-03
1.401863229e+00 2.92154e-23 7.31387e-21 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.96343e-01 1.00000e+00 1.00000e+00 9.96784e-01 4.01548e-03
1.401877248e+00 5.50056e-22 1.37051e-19 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.96189e-01 1.00000e+00 1.00000e+00 9.96785e-01 4.04008e-03
1.401891267e+00 4.94139e-22 1.22821e-19 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.94410e-01 1.00000e+00 1.00000e+00 9.96785e-01 4.06482e-03
